#ID                    add o tf ib tmrs a p e lo h tot alf b xv o p s  cl w d det cf trg SOU  U      l       b    ext  vc   Ak    stardens  a      b     J20     H20     K20     H-K    J-K     
2MASXJ03141768+4601520  0  0 0  1   1  0 0 0  1 9   4  1 2   1 0 0 0   1 1 0  0  0  0  0000  9    147.232  -9.992  0   1   0.11     3.37   34.6   20.1  11.689  10.847  10.439   0.41   1.25   
2MASXJ03142355+4610500  0  0 0  1   1  0 0 0  1 9   4  1 2   1 0 0 0   2 1 0  0  0  0  0000  9    147.167  -9.856  0   1   0.11     3.47   32.8   27.6  12.335  11.495  11.058   0.44   1.28   
2MASXJ03145984+5730450  8  0 0  0   0  0 0 0  9 9   0  8 1   1 0 0 0   3 5 0  0  0  0  0000  10   141.285  -0.151  0   1   0.82     3.68   21.6   18.6  14.488  13.052  12.428   0.62   2.06   
2MASXJ03162208+5215460  0  1 0  1   0  0 0 0  9 9   0  1 1   1 0 0 0   4 5 0  8  0  0  7627  3    144.209  -4.518  0   1   0.34     3.51   29.0   24.9  12.800  11.862  11.388   0.47   1.41   
2MASXJ03164732+4710346  0  0 0  1   1  0 0 0  1 9   4  1 2   1 0 0 0   3 4 0  0  0  0  0000  9    146.984  -8.794  0   1   0.14     3.43   26.0   24.4  12.437  11.609  11.305   0.30   1.13   
2MASXJ03172770+5751420  8  0 1  0   0  0 0 0  9 9   0  8 1   1 0 0 0   1 4 1  0  0  0  0000  10   141.382   0.319  0   1   0.91     3.68   30.0    7.8  15.059  13.549  12.666   0.88   2.39   
2MASXJ03180649+4751261  0  0 0  1   1  0 0 0  1 9   4  1 2   1 0 0 0   3 5 0  0  0  0  0000  9    146.806  -8.099  0   1   0.16     3.55   25.6   22.5  12.682  11.780  11.400   0.38   1.28   
2MASXJ03182080+5123100  0  0 0  1   1  0 0 0  1 9   4  1 2   1 0 0 0   1 1 0  0  0  0  0000  9    144.936  -5.098  0   1   0.26     3.57   34.2   20.5  12.706  11.880  11.461   0.42   1.24   
2MASXJ03182752+5602037  8  0 1  0   0  0 0 0  9 9   0  8 1   1 0 0 0   3 5 0  0  0  0  0000  10   142.467  -1.157  0   1   0.76     3.75   24.6   16.7  13.989  12.933  12.118   0.81   1.87   
2MASXJ03183423+4725299  0  0 0  1   1  0 0 0  1 9   4  1 2   1 0 0 0   1 2 0  0  0  0  0000  9    147.107  -8.422  0   1   0.15     3.52   58.0   47.6  12.389  11.717  11.310   0.41   1.08   
2MASXJ03185163+5754376  0  1 0  1   0  0 0 0  9 9   0  1 1   1 0 0 0   2 5 0  8  0  0  6996  10   141.513   0.459  4   1   0.94     3.65   26.6   20.2  14.153  12.782  12.051   0.73   2.10   
